value,name,date
147,Miami-I-95S,2016-08
146,Miami-I-95N,2016-08
143,LosAngeles-I-10W,2016-08
138,Houston-I-45N,2016-08
138,Brooklyn-BrooklynQueensExpy,2016-08
137,Chicago-I-94W,2016-08
125,LosAngeles-SanDiegoFwyS,2016-08
123,LosAngeles-I-5N,2016-08
109,LosAngeles-I-10E,2016-08
90,Dallas-I-635W,2016-08
89,Dallas-LBJFwyE,2016-08
85,Chicago-I-90E,2016-08
85,LosAngeles-GoldenStateFwyS,2016-08
81,Cincinnati-I-75S,2016-08
80,NewYork-FDRDrN,2016-08
79,Houston-I-45S,2016-08
79,Seattle-I-5S,2016-08
77,SanJose-US-101N,2016-08
76,Livermore-I-580E,2016-08
76,Livermore-I-580W,2016-08
196,Miami-I-95N,2016-09
192,Chicago-I-94W,2016-09
182,Houston-I-45N,2016-09
182,Miami-I-95S,2016-09
167,LosAngeles-I-10W,2016-09
159,Brooklyn-BrooklynQueensExpy,2016-09
150,LosAngeles-SanDiegoFwyS,2016-09
137,LosAngeles-I-5N,2016-09
136,LosAngeles-I-10E,2016-09
124,Chicago-I-90E,2016-09
119,Dallas-I-635W,2016-09
113,Dallas-LBJFwyE,2016-09
106,Houston-I-45S,2016-09
105,Phoenix-PearlHarborMemorialHighway,2016-09
104,Seattle-I-5S,2016-09
100,Seattle-I-5N,2016-09
95,LosAngeles-GoldenStateFwyS,2016-09
95,NewYork-FDRDrN,2016-09
91,SanJose-US-101N,2016-09
90,LosAngeles-US-101N,2016-09
258,Chicago-I-94W,2016-10
241,Houston-I-45N,2016-10
235,Miami-I-95N,2016-10
233,Miami-I-95S,2016-10
187,LosAngeles-I-10W,2016-10
176,LosAngeles-SanDiegoFwyS,2016-10
171,Brooklyn-BrooklynQueensExpy,2016-10
168,Dallas-I-635W,2016-10
167,LosAngeles-I-5N,2016-10
154,Chicago-I-90E,2016-10
151,Dallas-LBJFwyE,2016-10
150,LosAngeles-I-10E,2016-10
150,Phoenix-PearlHarborMemorialHighway,2016-10
148,Seattle-I-5S,2016-10
144,Seattle-I-5N,2016-10
137,Houston-I-45S,2016-10
119,LosAngeles-US-101N,2016-10
117,Houston-US-59N,2016-10
116,LosAngeles-GoldenStateFwyS,2016-10
116,Houston-US-90E,2016-10
339,Chicago-I-94W,2016-11
293,Houston-I-45N,2016-11
291,Miami-I-95N,2016-11
284,Miami-I-95S,2016-11
224,LosAngeles-SanDiegoFwyS,2016-11
222,Dallas-I-635W,2016-11
210,Dallas-LBJFwyE,2016-11
206,LosAngeles-I-5N,2016-11
205,LosAngeles-I-10W,2016-11
199,Chicago-I-90E,2016-11
197,Brooklyn-BrooklynQueensExpy,2016-11
184,Phoenix-PearlHarborMemorialHighway,2016-11
182,LosAngeles-I-10E,2016-11
179,Seattle-I-5S,2016-11
176,Seattle-I-5N,2016-11
167,Houston-I-45S,2016-11
145,Houston-US-90E,2016-11
140,Houston-US-59S,2016-11
138,Charlotte-WW.T.HarrisBlvd,2016-11
138,LosAngeles-GoldenStateFwyS,2016-11
397,Chicago-I-94W,2016-12
353,Houston-I-45N,2016-12
352,Miami-I-95N,2016-12
339,Miami-I-95S,2016-12
275,Dallas-I-635W,2016-12
255,LosAngeles-SanDiegoFwyS,2016-12
255,Chicago-I-90E,2016-12
252,Dallas-LBJFwyE,2016-12
232,LosAngeles-I-5N,2016-12
228,Seattle-I-5S,2016-12
227,LosAngeles-I-10W,2016-12
216,Phoenix-PearlHarborMemorialHighway,2016-12
216,Seattle-I-5N,2016-12
209,Brooklyn-BrooklynQueensExpy,2016-12
207,Houston-I-45S,2016-12
203,LosAngeles-I-10E,2016-12
168,Houston-US-90E,2016-12
168,Houston-US-59S,2016-12
162,Houston-US-59N,2016-12
155,LosAngeles-GoldenStateFwyS,2016-12
464,Chicago-I-94W,2017-01
409,Houston-I-45N,2017-01
397,Miami-I-95N,2017-01
381,Miami-I-95S,2017-01
320,Dallas-I-635W,2017-01
292,Chicago-I-90E,2017-01
290,Dallas-LBJFwyE,2017-01
278,LosAngeles-SanDiegoFwyS,2017-01
255,LosAngeles-I-5N,2017-01
254,LosAngeles-I-10W,2017-01
254,Seattle-I-5S,2017-01
248,Houston-I-45S,2017-01
244,Phoenix-PearlHarborMemorialHighway,2017-01
242,Seattle-I-5N,2017-01
229,LosAngeles-I-10E,2017-01
226,Brooklyn-BrooklynQueensExpy,2017-01
192,Houston-US-59N,2017-01
186,Houston-US-59S,2017-01
183,Houston-US-90E,2017-01
179,LosAngeles-US-101N,2017-01
527,Chicago-I-94W,2017-02
474,Houston-I-45N,2017-02
442,Miami-I-95N,2017-02
422,Miami-I-95S,2017-02
357,Dallas-I-635W,2017-02
333,Chicago-I-90E,2017-02
318,Dallas-LBJFwyE,2017-02
306,LosAngeles-SanDiegoFwyS,2017-02
299,Seattle-I-5S,2017-02
279,Houston-I-45S,2017-02
276,Seattle-I-5N,2017-02
275,LosAngeles-I-5N,2017-02
273,LosAngeles-I-10W,2017-02
263,Phoenix-PearlHarborMemorialHighway,2017-02
258,LosAngeles-I-10E,2017-02
240,Brooklyn-BrooklynQueensExpy,2017-02
211,Houston-US-59N,2017-02
210,Houston-US-90E,2017-02
203,Houston-US-59S,2017-02
202,LosGatos-SantaCruzHwy,2017-02
590,Chicago-I-94W,2017-03
523,Houston-I-45N,2017-03
510,Miami-I-95N,2017-03
499,Miami-I-95S,2017-03
388,Chicago-I-90E,2017-03
377,Dallas-I-635W,2017-03
349,Dallas-LBJFwyE,2017-03
336,LosAngeles-SanDiegoFwyS,2017-03
318,Seattle-I-5S,2017-03
314,Houston-I-45S,2017-03
303,Seattle-I-5N,2017-03
303,LosAngeles-I-5N,2017-03
302,LosAngeles-I-10W,2017-03
293,Phoenix-PearlHarborMemorialHighway,2017-03
289,LosAngeles-I-10E,2017-03
257,Brooklyn-BrooklynQueensExpy,2017-03
238,Houston-US-90E,2017-03
236,Houston-US-59N,2017-03
232,LosGatos-SantaCruzHwy,2017-03
220,Charlotte-STryonSt,2017-03
639,Chicago-I-94W,2017-04
567,Houston-I-45N,2017-04
553,Miami-I-95S,2017-04
544,Miami-I-95N,2017-04
429,Chicago-I-90E,2017-04
400,Dallas-I-635W,2017-04
370,Dallas-LBJFwyE,2017-04
357,LosAngeles-SanDiegoFwyS,2017-04
339,Houston-I-45S,2017-04
337,Seattle-I-5N,2017-04
336,Seattle-I-5S,2017-04
326,LosAngeles-I-5N,2017-04
325,LosAngeles-I-10W,2017-04
321,LosAngeles-I-10E,2017-04
317,Phoenix-PearlHarborMemorialHighway,2017-04
267,Brooklyn-BrooklynQueensExpy,2017-04
262,Houston-US-90E,2017-04
256,LosGatos-SantaCruzHwy,2017-04
254,Houston-US-59N,2017-04
237,Charlotte-STryonSt,2017-04
679,Chicago-I-94W,2017-05
610,Houston-I-45N,2017-05
606,Miami-I-95N,2017-05
600,Miami-I-95S,2017-05
457,Chicago-I-90E,2017-05
424,Dallas-I-635W,2017-05
395,Dallas-LBJFwyE,2017-05
389,LosAngeles-SanDiegoFwyS,2017-05
373,Houston-I-45S,2017-05
368,Seattle-I-5S,2017-05
363,Seattle-I-5N,2017-05
352,LosAngeles-I-10W,2017-05
349,Phoenix-PearlHarborMemorialHighway,2017-05
346,LosAngeles-I-10E,2017-05
342,LosAngeles-I-5N,2017-05
294,Brooklyn-BrooklynQueensExpy,2017-05
292,Houston-US-90E,2017-05
276,Houston-US-59N,2017-05
269,LosGatos-SantaCruzHwy,2017-05
259,Charlotte-STryonSt,2017-05
710,Chicago-I-94W,2017-06
667,Miami-I-95N,2017-06
646,Miami-I-95S,2017-06
645,Houston-I-45N,2017-06
478,Chicago-I-90E,2017-06
447,Dallas-I-635W,2017-06
417,Dallas-LBJFwyE,2017-06
412,LosAngeles-SanDiegoFwyS,2017-06
394,Seattle-I-5N,2017-06
394,Houston-I-45S,2017-06
384,Seattle-I-5S,2017-06
381,Phoenix-PearlHarborMemorialHighway,2017-06
374,LosAngeles-I-10W,2017-06
367,LosAngeles-I-5N,2017-06
361,LosAngeles-I-10E,2017-06
310,Houston-US-90E,2017-06
308,Brooklyn-BrooklynQueensExpy,2017-06
294,Houston-US-59N,2017-06
281,LosGatos-SantaCruzHwy,2017-06
272,Charlotte-STryonSt,2017-06
745,Chicago-I-94W,2017-07
710,Miami-I-95N,2017-07
700,Miami-I-95S,2017-07
678,Houston-I-45N,2017-07
510,Chicago-I-90E,2017-07
476,Dallas-I-635W,2017-07
450,Dallas-LBJFwyE,2017-07
435,LosAngeles-SanDiegoFwyS,2017-07
424,Seattle-I-5N,2017-07
423,Houston-I-45S,2017-07
411,Phoenix-PearlHarborMemorialHighway,2017-07
406,Seattle-I-5S,2017-07
385,LosAngeles-I-10W,2017-07
381,LosAngeles-I-10E,2017-07
377,LosAngeles-I-5N,2017-07
328,Brooklyn-BrooklynQueensExpy,2017-07
325,Houston-US-90E,2017-07
317,Houston-US-59N,2017-07
291,Orlando-I-4E,2017-07
291,Charlotte-STryonSt,2017-07
779,Chicago-I-94W,2017-08
775,Miami-I-95S,2017-08
769,Miami-I-95N,2017-08
707,Houston-I-45N,2017-08
550,Chicago-I-90E,2017-08
500,Dallas-I-635W,2017-08
477,Dallas-LBJFwyE,2017-08
450,Seattle-I-5N,2017-08
446,Phoenix-PearlHarborMemorialHighway,2017-08
446,LosAngeles-SanDiegoFwyS,2017-08
441,Houston-I-45S,2017-08
433,Seattle-I-5S,2017-08
406,LosAngeles-I-10E,2017-08
395,LosAngeles-I-5N,2017-08
394,LosAngeles-I-10W,2017-08
344,Houston-US-90E,2017-08
342,Brooklyn-BrooklynQueensExpy,2017-08
331,Houston-US-59N,2017-08
318,Orlando-I-4W,2017-08
315,Orlando-I-4E,2017-08
812,Miami-I-95S,2017-09
812,Chicago-I-94W,2017-09
806,Miami-I-95N,2017-09
738,Houston-I-45N,2017-09
580,Chicago-I-90E,2017-09
518,Dallas-I-635W,2017-09
499,Dallas-LBJFwyE,2017-09
478,Seattle-I-5N,2017-09
476,Phoenix-PearlHarborMemorialHighway,2017-09
463,LosAngeles-SanDiegoFwyS,2017-09
456,Seattle-I-5S,2017-09
455,Houston-I-45S,2017-09
423,LosAngeles-I-10E,2017-09
408,LosAngeles-I-5N,2017-09
401,LosAngeles-I-10W,2017-09
359,Houston-US-90E,2017-09
354,Brooklyn-BrooklynQueensExpy,2017-09
348,Houston-US-59N,2017-09
334,Orlando-I-4W,2017-09
334,Orlando-I-4E,2017-09
861,Miami-I-95S,2017-10
856,Chicago-I-94W,2017-10
849,Miami-I-95N,2017-10
790,Houston-I-45N,2017-10
617,Chicago-I-90E,2017-10
560,Dallas-I-635W,2017-10
530,Seattle-I-5N,2017-10
524,Dallas-LBJFwyE,2017-10
502,Phoenix-PearlHarborMemorialHighway,2017-10
493,Seattle-I-5S,2017-10
482,Houston-I-45S,2017-10
476,LosAngeles-SanDiegoFwyS,2017-10
450,LosAngeles-I-10E,2017-10
427,LosAngeles-I-5N,2017-10
418,LosAngeles-I-10W,2017-10
382,Houston-US-90E,2017-10
369,Brooklyn-BrooklynQueensExpy,2017-10
366,Houston-US-59N,2017-10
359,Orlando-I-4W,2017-10
353,Houston-US-59S,2017-10
922,Chicago-I-94W,2017-11
906,Miami-I-95N,2017-11
896,Miami-I-95S,2017-11
833,Houston-I-45N,2017-11
656,Chicago-I-90E,2017-11
589,Dallas-I-635W,2017-11
559,Seattle-I-5N,2017-11
549,Dallas-LBJFwyE,2017-11
521,Seattle-I-5S,2017-11
510,Phoenix-PearlHarborMemorialHighway,2017-11
503,Houston-I-45S,2017-11
498,LosAngeles-SanDiegoFwyS,2017-11
472,LosAngeles-I-10E,2017-11
451,LosAngeles-I-10W,2017-11
444,LosAngeles-I-5N,2017-11
403,Houston-US-90E,2017-11
384,Brooklyn-BrooklynQueensExpy,2017-11
382,Houston-US-59N,2017-11
373,Orlando-I-4W,2017-11
367,Orlando-I-4E,2017-11
960,Chicago-I-94W,2017-12
938,Miami-I-95N,2017-12
933,Miami-I-95S,2017-12
857,Houston-I-45N,2017-12
687,Chicago-I-90E,2017-12
612,Dallas-I-635W,2017-12
588,Seattle-I-5N,2017-12
573,Dallas-LBJFwyE,2017-12
543,Seattle-I-5S,2017-12
528,Phoenix-PearlHarborMemorialHighway,2017-12
524,Houston-I-45S,2017-12
517,LosAngeles-SanDiegoFwyS,2017-12
489,LosAngeles-I-10E,2017-12
468,LosAngeles-I-10W,2017-12
458,LosAngeles-I-5N,2017-12
424,Houston-US-90E,2017-12
412,Houston-US-59N,2017-12
395,Brooklyn-BrooklynQueensExpy,2017-12
393,Orlando-I-4W,2017-12
385,Houston-US-59S,2017-12
1021,Chicago-I-94W,2018-01
974,Miami-I-95N,2018-01
963,Miami-I-95S,2018-01
889,Houston-I-45N,2018-01
732,Chicago-I-90E,2018-01
642,Dallas-I-635W,2018-01
607,Dallas-LBJFwyE,2018-01
607,Seattle-I-5N,2018-01
573,Phoenix-PearlHarborMemorialHighway,2018-01
563,Seattle-I-5S,2018-01
555,Houston-I-45S,2018-01
535,LosAngeles-SanDiegoFwyS,2018-01
522,LosAngeles-I-10E,2018-01
483,LosAngeles-I-10W,2018-01
472,LosAngeles-I-5N,2018-01
446,Houston-US-90E,2018-01
433,Houston-US-59N,2018-01
411,Orlando-I-4W,2018-01
408,Houston-US-59S,2018-01
405,Brooklyn-BrooklynQueensExpy,2018-01
1055,Chicago-I-94W,2018-02
1007,Miami-I-95N,2018-02
1003,Miami-I-95S,2018-02
936,Houston-I-45N,2018-02
753,Chicago-I-90E,2018-02
671,Dallas-I-635W,2018-02
634,Dallas-LBJFwyE,2018-02
627,Seattle-I-5N,2018-02
602,Phoenix-PearlHarborMemorialHighway,2018-02
575,Seattle-I-5S,2018-02
570,Houston-I-45S,2018-02
559,LosAngeles-SanDiegoFwyS,2018-02
535,LosAngeles-I-10E,2018-02
508,LosAngeles-I-10W,2018-02
485,LosAngeles-I-5N,2018-02
468,Houston-US-90E,2018-02
449,Houston-US-59N,2018-02
431,Orlando-I-4W,2018-02
421,Houston-US-59S,2018-02
420,Orlando-I-4E,2018-02
1111,Chicago-I-94W,2018-03
1051,Miami-I-95S,2018-03
1049,Miami-I-95N,2018-03
978,Houston-I-45N,2018-03
781,Chicago-I-90E,2018-03
701,Dallas-I-635W,2018-03
666,Seattle-I-5N,2018-03
660,Dallas-LBJFwyE,2018-03
636,Phoenix-PearlHarborMemorialHighway,2018-03
606,Houston-I-45S,2018-03
596,Seattle-I-5S,2018-03
578,LosAngeles-SanDiegoFwyS,2018-03
548,LosAngeles-I-10E,2018-03
534,LosAngeles-I-10W,2018-03
501,LosAngeles-I-5N,2018-03
497,Houston-US-90E,2018-03
472,Houston-US-59N,2018-03
458,Orlando-I-4W,2018-03
444,Orlando-I-4E,2018-03
439,Houston-US-59S,2018-03
1149,Chicago-I-94W,2018-04
1079,Miami-I-95S,2018-04
1077,Miami-I-95N,2018-04
1014,Houston-I-45N,2018-04
810,Chicago-I-90E,2018-04
719,Dallas-I-635W,2018-04
688,Dallas-LBJFwyE,2018-04
687,Phoenix-PearlHarborMemorialHighway,2018-04
687,Seattle-I-5N,2018-04
625,Houston-I-45S,2018-04
615,Seattle-I-5S,2018-04
606,LosAngeles-SanDiegoFwyS,2018-04
564,LosAngeles-I-10E,2018-04
558,LosAngeles-I-10W,2018-04
520,LosAngeles-I-5N,2018-04
519,Houston-US-90E,2018-04
482,Houston-US-59N,2018-04
473,Orlando-I-4W,2018-04
465,Orlando-I-4E,2018-04
456,Houston-US-59S,2018-04
1188,Chicago-I-94W,2018-05
1118,Miami-I-95S,2018-05
1102,Miami-I-95N,2018-05
1041,Houston-I-45N,2018-05
841,Chicago-I-90E,2018-05
743,Dallas-I-635W,2018-05
723,Phoenix-PearlHarborMemorialHighway,2018-05
717,Seattle-I-5N,2018-05
708,Dallas-LBJFwyE,2018-05
647,Houston-I-45S,2018-05
644,Seattle-I-5S,2018-05
618,LosAngeles-SanDiegoFwyS,2018-05
576,LosAngeles-I-10E,2018-05
567,LosAngeles-I-10W,2018-05
546,LosAngeles-I-5N,2018-05
541,Houston-US-90E,2018-05
509,Houston-US-59N,2018-05
505,Orlando-I-4W,2018-05
492,Orlando-I-4E,2018-05
470,Houston-US-59S,2018-05
1223,Chicago-I-94W,2018-06
1144,Miami-I-95S,2018-06
1132,Miami-I-95N,2018-06
1082,Houston-I-45N,2018-06
874,Chicago-I-90E,2018-06
771,Dallas-I-635W,2018-06
768,Phoenix-PearlHarborMemorialHighway,2018-06
755,Seattle-I-5N,2018-06
731,Dallas-LBJFwyE,2018-06
676,Seattle-I-5S,2018-06
675,Houston-I-45S,2018-06
629,LosAngeles-SanDiegoFwyS,2018-06
601,LosAngeles-I-10W,2018-06
596,LosAngeles-I-10E,2018-06
564,Houston-US-90E,2018-06
557,LosAngeles-I-5N,2018-06
530,Houston-US-59N,2018-06
526,Orlando-I-4W,2018-06
512,Orlando-I-4E,2018-06
480,Houston-US-59S,2018-06
1264,Chicago-I-94W,2018-07
1173,Miami-I-95S,2018-07
1169,Miami-I-95N,2018-07
1094,Houston-I-45N,2018-07
897,Chicago-I-90E,2018-07
790,Phoenix-PearlHarborMemorialHighway,2018-07
785,Seattle-I-5N,2018-07
783,Dallas-I-635W,2018-07
749,Dallas-LBJFwyE,2018-07
708,Seattle-I-5S,2018-07
686,Houston-I-45S,2018-07
653,LosAngeles-SanDiegoFwyS,2018-07
640,LosAngeles-I-10W,2018-07
625,LosAngeles-I-10E,2018-07
585,LosAngeles-I-5N,2018-07
578,Houston-US-90E,2018-07
542,Orlando-I-4E,2018-07
540,Orlando-I-4W,2018-07
532,Houston-US-59N,2018-07
486,Houston-US-59S,2018-07
1305,Chicago-I-94W,2018-08
1223,Miami-I-95S,2018-08
1221,Miami-I-95N,2018-08
1099,Houston-I-45N,2018-08
921,Chicago-I-90E,2018-08
824,Phoenix-PearlHarborMemorialHighway,2018-08
817,Seattle-I-5N,2018-08
785,Dallas-I-635W,2018-08
751,Dallas-LBJFwyE,2018-08
742,Seattle-I-5S,2018-08
690,Houston-I-45S,2018-08
663,LosAngeles-SanDiegoFwyS,2018-08
663,LosAngeles-I-10W,2018-08
645,LosAngeles-I-10E,2018-08
599,LosAngeles-I-5N,2018-08
579,Houston-US-90E,2018-08
566,Orlando-I-4W,2018-08
564,Orlando-I-4E,2018-08
535,Houston-US-59N,2018-08
493,Atlanta-I-75S,2018-08
1342,Chicago-I-94W,2018-09
1253,Miami-I-95N,2018-09
1252,Miami-I-95S,2018-09
1135,Houston-I-45N,2018-09
948,Chicago-I-90E,2018-09
846,Phoenix-PearlHarborMemorialHighway,2018-09
841,Seattle-I-5N,2018-09
818,Dallas-I-635W,2018-09
767,Dallas-LBJFwyE,2018-09
763,Seattle-I-5S,2018-09
705,Houston-I-45S,2018-09
684,LosAngeles-I-10W,2018-09
671,LosAngeles-SanDiegoFwyS,2018-09
655,LosAngeles-I-10E,2018-09
614,LosAngeles-I-5N,2018-09
593,Houston-US-90E,2018-09
590,Orlando-I-4W,2018-09
578,Orlando-I-4E,2018-09
545,Houston-US-59N,2018-09
513,Atlanta-I-75S,2018-09
1389,Chicago-I-94W,2018-10
1289,Miami-I-95S,2018-10
1286,Miami-I-95N,2018-10
1169,Houston-I-45N,2018-10
983,Chicago-I-90E,2018-10
874,Phoenix-PearlHarborMemorialHighway,2018-10
864,Seattle-I-5N,2018-10
853,Dallas-I-635W,2018-10
797,Dallas-LBJFwyE,2018-10
791,Seattle-I-5S,2018-10
730,Houston-I-45S,2018-10
712,LosAngeles-I-10W,2018-10
692,LosAngeles-SanDiegoFwyS,2018-10
674,LosAngeles-I-10E,2018-10
638,LosAngeles-I-5N,2018-10
620,Orlando-I-4W,2018-10
614,Houston-US-90E,2018-10
597,Orlando-I-4E,2018-10
559,Houston-US-59N,2018-10
544,Atlanta-I-75S,2018-10
1430,Chicago-I-94W,2018-11
1332,Miami-I-95S,2018-11
1312,Miami-I-95N,2018-11
1197,Houston-I-45N,2018-11
1019,Chicago-I-90E,2018-11
899,Seattle-I-5N,2018-11
894,Phoenix-PearlHarborMemorialHighway,2018-11
878,Dallas-I-635W,2018-11
818,Dallas-LBJFwyE,2018-11
813,Seattle-I-5S,2018-11
754,Houston-I-45S,2018-11
730,LosAngeles-I-10W,2018-11
705,LosAngeles-SanDiegoFwyS,2018-11
683,LosAngeles-I-10E,2018-11
656,LosAngeles-I-5N,2018-11
636,Orlando-I-4W,2018-11
622,Houston-US-90E,2018-11
618,Orlando-I-4E,2018-11
578,Atlanta-I-75S,2018-11
563,Houston-US-59N,2018-11
1467,Chicago-I-94W,2018-12
1381,Miami-I-95S,2018-12
1348,Miami-I-95N,2018-12
1213,Houston-I-45N,2018-12
1036,Chicago-I-90E,2018-12
934,Seattle-I-5N,2018-12
909,Phoenix-PearlHarborMemorialHighway,2018-12
899,Dallas-I-635W,2018-12
840,Seattle-I-5S,2018-12
835,Dallas-LBJFwyE,2018-12
765,Houston-I-45S,2018-12
755,LosAngeles-I-10W,2018-12
725,LosAngeles-SanDiegoFwyS,2018-12
721,LosAngeles-I-10E,2018-12
682,LosAngeles-I-5N,2018-12
657,Orlando-I-4W,2018-12
631,Houston-US-90E,2018-12
629,Orlando-I-4E,2018-12
596,Atlanta-I-75S,2018-12
595,Atlanta-I-285E,2018-12
1511,Chicago-I-94W,2019-01
1411,Miami-I-95S,2019-01
1372,Miami-I-95N,2019-01
1235,Houston-I-45N,2019-01
1075,Chicago-I-90E,2019-01
957,Seattle-I-5N,2019-01
937,Phoenix-PearlHarborMemorialHighway,2019-01
927,Dallas-I-635W,2019-01
862,Seattle-I-5S,2019-01
861,Dallas-LBJFwyE,2019-01
786,Houston-I-45S,2019-01
775,LosAngeles-I-10W,2019-01
741,LosAngeles-I-10E,2019-01
740,LosAngeles-SanDiegoFwyS,2019-01
692,LosAngeles-I-5N,2019-01
683,Orlando-I-4W,2019-01
646,Houston-US-90E,2019-01
645,Orlando-I-4E,2019-01
643,Portland-I-5N,2019-01
622,Atlanta-I-285E,2019-01
1545,Chicago-I-94W,2019-02
1452,Miami-I-95S,2019-02
1414,Miami-I-95N,2019-02
1260,Houston-I-45N,2019-02
1099,Chicago-I-90E,2019-02
972,Seattle-I-5N,2019-02
950,Phoenix-PearlHarborMemorialHighway,2019-02
949,Dallas-I-635W,2019-02
882,Seattle-I-5S,2019-02
871,Dallas-LBJFwyE,2019-02
803,Houston-I-45S,2019-02
781,LosAngeles-I-10W,2019-02
754,LosAngeles-I-10E,2019-02
747,LosAngeles-SanDiegoFwyS,2019-02
725,Portland-I-5N,2019-02
699,Orlando-I-4W,2019-02
698,LosAngeles-I-5N,2019-02
656,Atlanta-I-75S,2019-02
652,Atlanta-I-285E,2019-02
652,Orlando-I-4E,2019-02
1582,Chicago-I-94W,2019-03
1495,Miami-I-95S,2019-03
1446,Miami-I-95N,2019-03
1293,Houston-I-45N,2019-03
1126,Chicago-I-90E,2019-03
998,Seattle-I-5N,2019-03
962,Phoenix-PearlHarborMemorialHighway,2019-03
